beat_idx_end,t_end_s,slope_bpm_per_s,T,L,CSI,ModCSI,CSI_raw,modcsi_filt_times_slope,csi_times_slope
84,79.97265625,0.0881879219113249,0.07248112059788762,0.46554793489162116,6.4230234170136296,2.9902252875512194,1.7182538636980682,0.263701754155836,0.15152923755563755
85,80.8984375,0.06104641473158549,0.07273755257449938,0.46009133750801584,6.325361814130058,2.910244177285228,1.701168623678383,0.17765997301673583,0.10385024532943105
86,81.890625,0.02123675886120703,0.07769933463780038,0.4571814656983866,5.883981733300067,2.690047392972658,1.6847314064789307,0.05712788780977896,0.03577823462529522
87,82.9453125,-0.018734834311270036,0.07769582772842216,0.4581386268188522,5.896566652462073,2.7014449491048103,1.7098708116431356,-0.050611123522495936,-0.032034146349810964
88,83.978515625,-0.05910256735672077,0.07769582772842216,0.45896051510207847,5.90714493326885,2.711146281355705,1.7496688553194322,-0.1602357057077486,-0.10340992137347327
89,85.037109375,-0.09935742788935653,0.07769582772842216,0.4597799182766594,5.91769122897787,2.7208355896459495,1.7762820744594021,-0.2703352258970423,-0.17648681812425668
90,86.013671875,-0.13649178138596216,0.07793760076259858,0.45925053796632176,5.89254138532208,2.7061528011979794,1.7474429325538543,-0.3693676165381237,-0.2385115987345853
91,86.91796875,-0.16934250581093388,0.07849696871119145,0.4561097722048877,5.8105399443260195,2.6502440503939417,1.9216826043113195,-0.448798968504229,-0.32542254758736017
92,87.87109375,-0.19925119870965993,0.0787254046788584,0.45110049001632224,5.730049808654266,2.584828276501873,1.9594148909762192,-0.5150301325516224,-0.39041576579656934
93,88.80859375,-0.2251934523676999,0.07784631549681141,0.44715223967915263,5.74403858198617,2.56845971673858,1.9550069146749463,-0.5784003108797253,-0.4402547565183764
94,89.7265625,-0.2426383601647533,0.07775425556805145,0.4450245021671997,5.723474540601948,2.5470864080980236,2.016801274458672,-0.618020869258836,-0.4893533540128367
95,90.634765625,-0.2575801549070959,0.07775425556805143,0.44326343211052194,5.700825361546579,2.5269674156218436,2.008164166925051,-0.6508966583610583,-0.5172632371954338
96,91.53515625,-0.2708250984288825,0.07635494147065491,0.44257547706066425,5.796291222759393,2.5652963530952793,2.1127875948573704,-0.6947466373262824,-0.5721959083365693
97,92.416015625,-0.27334988525947934,0.076171875,0.442567033569913,5.810110799687063,2.5713635013300187,2.163847735260631,-0.7028819180489737,-0.5914875301524778
