peak_sample,peak_time_s
9271651,18108.693359375
9271974,18109.32421875
9272291,18109.943359375
9272614,18110.57421875
9272946,18111.22265625
9273275,18111.865234375
9273590,18112.48046875
9273923,18113.130859375
9274297,18113.861328125
9274617,18114.486328125
9274947,18115.130859375
9275289,18115.798828125
9275635,18116.474609375
9275949,18117.087890625
9276271,18117.716796875
9276592,18118.34375
9276896,18118.9375
9277204,18119.5390625
9277511,18120.138671875
9277823,18120.748046875
9278125,18121.337890625
9278434,18121.94140625
9278736,18122.53125
9279036,18123.1171875
9279340,18123.7109375
9279650,18124.31640625
9279969,18124.939453125
9280289,18125.564453125
9280602,18126.17578125
9280905,18126.767578125
9281216,18127.375
9281523,18127.974609375
9281818,18128.55078125
9282120,18129.140625
9282433,18129.751953125
9282751,18130.373046875
9283061,18130.978515625
9283377,18131.595703125
9283689,18132.205078125
9284011,18132.833984375
9284365,18133.525390625
9284705,18134.189453125
9285040,18134.84375
9285382,18135.51171875
9285745,18136.220703125
9286170,18137.05078125
9286504,18137.703125
9286827,18138.333984375
9287214,18139.08984375
9287601,18139.845703125
9287926,18140.48046875
9288278,18141.16796875
9288607,18141.810546875
9288916,18142.4140625
9289226,18143.01953125
9289538,18143.62890625
9289852,18144.2421875
9290158,18144.83984375
9290478,18145.46484375
9290806,18146.10546875
9291120,18146.71875
9291433,18147.330078125
9291759,18147.966796875
9292085,18148.603515625
9292397,18149.212890625
9292718,18149.83984375
9293036,18150.4609375
9293357,18151.087890625
9293672,18151.703125
9293984,18152.3125
9294304,18152.9375
9294694,18153.69921875
9295021,18154.337890625
9295350,18154.98046875
9295721,18155.705078125
9296073,18156.392578125
9296405,18157.041015625
9296782,18157.77734375
9297132,18158.4609375
9297460,18159.1015625
9297853,18159.869140625
9298253,18160.650390625
9298586,18161.30078125
9298922,18161.95703125
9299327,18162.748046875
9299670,18163.41796875
9300001,18164.064453125
9300401,18164.845703125
9300790,18165.60546875
9301123,18166.255859375
9301471,18166.935546875
9301829,18167.634765625
9302195,18168.349609375
9302539,18169.021484375
9302896,18169.71875
9303236,18170.3828125
9303562,18171.01953125
9303908,18171.6953125
9304256,18172.375
9304578,18173.00390625
9304977,18173.783203125
9305364,18174.5390625
9305697,18175.189453125
9306033,18175.845703125
9306373,18176.509765625
9306707,18177.162109375
9307035,18177.802734375
9307404,18178.5234375
9307809,18179.314453125
9308160,18180.0
9308492,18180.6484375
9308882,18181.41015625
9309255,18182.138671875
9309591,18182.794921875
9309940,18183.4765625
9310297,18184.173828125
9310646,18184.85546875
9310984,18185.515625
9311334,18186.19921875
9311696,18186.90625
9312022,18187.54296875
