py_idx,lv_idx,delta_s
836,897,0.021981625122805326
841,914,0.07487012512274305
850,931,0.07706775012263734
854,935,0.014661750122684225
855,936,-0.07940374987731502
857,938,-0.06938187487730829
858,939,-0.018354374877333157
859,940,-0.06622937487730951
861,942,0.013321500122685848
862,943,0.017246000122668192
863,944,-0.04299262487734268
867,949,0.013630875122657926
868,950,0.01303850012266139
869,951,0.0005755001226361856
872,954,-0.05268374987736024
873,955,-0.03836424987736109
874,956,0.021081750122618814
876,959,-0.0772493748773968
877,960,-0.06832637487741522
878,961,0.0707717501225602
879,962,0.008533125122539786
884,968,-0.006936249877526279
885,969,0.0459017501224821
889,974,-0.06790599987749601
890,975,-0.0011203748774732958
891,976,0.05611325012250745
892,977,-0.003545249877504375
893,978,0.0402670001224692
898,984,-0.005018624877550337
900,986,-0.023619999877553255
901,987,0.03178550012245296
902,988,0.028660375122456117
904,991,-0.06544237487759119
908,995,-0.03282249987768182
917,1004,0.034203375122388024
919,1006,-0.04001899987758861
925,1013,-0.015523749877615955
926,1014,-0.006998249877597118
932,1020,0.03801712512239419
933,1021,-0.060028624877588754
940,1029,-0.05021037487750846
941,1030,-0.06460474987750331
943,1032,0.06753600012245897
947,1037,-0.05374174987753122
948,1038,0.012798500122471523
949,1039,0.06479687512245391
950,1040,0.06401362512247033
952,1043,-0.020826499877500737
953,1045,-0.05458374987750858
954,1046,-0.05564287487749198
955,1047,0.005023375122505058
956,1048,0.017646375122524205
957,1050,-0.015840999877468676
962,1057,0.01573937512256407
963,1059,-0.015451999877484468
964,1060,-0.07287324987748889
966,1063,-0.05029699987744607
973,1070,-0.031642374877435486
974,1071,-0.06956762487743617
980,1077,-0.041832624877429225
982,1080,-0.0401979998774209
983,1081,0.0036687501225856067
984,1082,0.06559125012256573
985,1083,0.06732937512254011
987,1085,0.07307250012257782
992,1091,-0.021167499877435603
995,1096,-0.008993374877377391
996,1098,-0.06564512487739194
997,1099,-0.024419499877410544
998,1100,-0.03563262487739394
999,1101,-0.06081349987738349
1001,1104,-0.010621249877374339
1002,1105,0.0453742501226202
1004,1108,-0.01358049987737786
1007,1113,-0.04494174987735278
1010,1139,0.04653975012274714
1012,1142,0.03200850012274259
1013,1143,0.07418875012274384
1014,1144,0.06168150012274509
1016,1147,-0.027539374877278533
1017,1148,-0.06435437487726858
1018,1149,-0.02845099987729327
1025,1156,-0.04156812487724437
1026,1157,-0.07699487487724355
1029,1159,0.03858987512279555
1038,1168,0.031086625122838996
1039,1169,-0.029670124877156923
1040,1170,-0.03694612487714721
1042,1172,-0.0036638748771338214
1049,1180,-0.001807374877159873
1050,1181,-0.07679812487714344
1051,1182,0.019698875122855952
1055,1186,0.04611887512288604
1056,1187,-0.05910887487709715
1059,1189,0.05611875012289147
1060,1191,-0.02501799987709319
1061,1192,0.031741375122919635
1065,1195,0.07522737512294952
1067,1197,-0.022817124877064998
1068,1198,-0.024878374877062015
1069,1199,-0.07279412487707759
1072,1202,0.06359312512290671
1074,1204,0.04637450012290856
1077,1208,0.02144412512296867
1078,1210,-0.00813024987701283
1079,1211,-0.0025392498770315797
1080,1212,0.06257812512296823
1081,1213,0.062273875122969
1083,1215,-0.014506749877057246
1086,1218,-0.050008749877065384
1087,1219,-0.0005267498770535894
1088,1221,-0.07842937487703239
1089,1222,-0.021134874877020593
1090,1223,0.03961750012297216
1091,1224,0.02075675012292777
1092,1226,-0.058012874877022114
1093,1227,-0.05322474987701753
1095,1229,-0.07005949987694748
1097,1232,-0.03930337487690849
1100,1236,0.0036217501231021743
1101,1237,-0.015681499876905036
1110,1248,0.003808250123029211
1112,1250,-0.07741062487696126
1114,1252,-0.06251674987686329
1115,1253,0.024006625123092817
1119,1258,-0.04359037487677142
1120,1259,-0.0411592498767277
1127,1266,0.015906375123336147
1128,1267,0.07206262512329431
1129,1269,0.039199125123332124
1131,1271,0.038473375123317055
1132,1272,-0.0011601248767192374
1133,1273,-0.04429649987673656
1135,1275,0.06588787512328054
1138,1279,0.03373537512334224
1139,1280,0.04437225012338786
1144,1285,0.04219875012347529
1146,1287,0.04904312512348952
1150,1292,0.0505428751234831
1154,1296,-0.0504708748765097
1158,1299,0.06303412512340856
1163,1305,0.004190500123399943
1164,1306,0.00201637512338948
1165,1307,0.06855500012341054
1166,1309,0.0368126251233889
1167,1310,0.041953250123356156
1168,1312,-0.04102912487667254
1169,1313,0.016221000123323392
1171,1316,-0.054217874876599126
1172,1317,-0.07899974987662972
1175,1321,-0.03593624987649946
1176,1322,0.021208625123449565
1177,1324,-0.05765174987652699
1179,1327,-0.07730862487642298
1180,1328,-0.014199874876453578
1181,1329,-0.007447624876476766
1182,1330,-0.03418237487642273
1183,1331,-0.0687291248764268
1185,1333,-0.04679412487632817
1188,1336,-0.07817024987627974
1190,1338,0.07333075012377321
1192,1340,0.01660312512387918
1193,1341,-0.058319874876133326
1197,1344,0.07369850012389634
1198,1345,0.06669637512391091
1203,1350,0.019979000123953483
1204,1351,0.01144562512399716
1205,1352,0.07350425012396045
1206,1353,0.005852000123923062
1207,1355,-0.0076018748760589006
1210,1360,-0.06757274987614892
