peak_sample,peak_time_s
223919,437.341796875
224175,437.841796875
224456,438.390625
224587,438.646484375
224758,438.98046875
224903,439.263671875
225073,439.595703125
225241,439.923828125
225413,440.259765625
225558,440.54296875
225800,441.015625
225971,441.349609375
226141,441.681640625
226284,441.9609375
226425,442.236328125
226595,442.568359375
226724,442.8203125
226967,443.294921875
227109,443.572265625
227279,443.904296875
227409,444.158203125
227766,444.85546875
227897,445.111328125
228103,445.513671875
228308,445.9140625
228492,446.2734375
228691,446.662109375
228905,447.080078125
229174,447.60546875
229318,447.88671875
229489,448.220703125
229631,448.498046875
229802,448.83203125
229930,449.08203125
230072,449.359375
230217,449.642578125
230458,450.11328125
230626,450.44140625
230869,450.916015625
231041,451.251953125
231212,451.5859375
231382,451.91796875
231625,452.392578125
231794,452.72265625
231965,453.056640625
232180,453.4765625
232452,454.0078125
232621,454.337890625
232764,454.6171875
233033,455.142578125
233278,455.62109375
233492,456.0390625
233761,456.564453125
233931,456.896484375
234074,457.17578125
234317,457.650390625
234457,457.923828125
234658,458.31640625
234831,458.654296875
234998,458.98046875
235242,459.45703125
235384,459.734375
235587,460.130859375
235784,460.515625
235970,460.87890625
236213,461.353515625
236380,461.6796875
236623,462.154296875
236836,462.5703125
237037,462.962890625
237206,463.29296875
237380,463.6328125
237551,463.966796875
237690,464.23828125
237863,464.576171875
238009,464.861328125
238179,465.193359375
238419,465.662109375
238661,466.134765625
238929,466.658203125
239102,466.99609375
239243,467.271484375
239415,467.607421875
239556,467.8828125
239828,468.4140625
239999,468.748046875
240170,469.08203125
240312,469.359375
240555,469.833984375
240698,470.11328125
240869,470.447265625
241067,470.833984375
241209,471.111328125
241411,471.505859375
241550,471.77734375
241692,472.0546875
241937,472.533203125
242108,472.8671875
242350,473.33984375
242520,473.671875
242759,474.138671875
242935,474.482421875
243102,474.80859375
243249,475.095703125
243417,475.423828125
243588,475.7578125
243749,476.072265625
243904,476.375
244073,476.705078125
244243,477.037109375
244413,477.369140625
244558,477.65234375
244827,478.177734375
245068,478.6484375
245211,478.927734375
245384,479.265625
245653,479.791015625
245794,480.06640625
246039,480.544921875
246208,480.875
246451,481.349609375
246633,481.705078125
246762,481.95703125
247034,482.48828125
247177,482.767578125
247350,483.10546875
247517,483.431640625
247762,483.91015625
248000,484.375
248243,484.849609375
248417,485.189453125
248587,485.521484375
248757,485.853515625
248927,486.185546875
249057,486.439453125
249279,486.873046875
249414,487.13671875
249614,487.52734375
249838,487.96484375
250105,488.486328125
250310,488.88671875
250483,489.224609375
250625,489.501953125
250753,489.751953125
250891,490.021484375
251107,490.443359375
251308,490.8359375
251476,491.1640625
251619,491.443359375
251862,491.91796875
252038,492.26171875
252275,492.724609375
252448,493.0625
252616,493.390625
252757,493.666015625
252930,494.00390625
253072,494.28125
253345,494.814453125
253587,495.287109375
253824,495.75
254058,496.20703125
254240,496.5625
254454,496.98046875
254625,497.314453125
254824,497.703125
254964,497.9765625
255140,498.3203125
255307,498.646484375
255551,499.123046875
255819,499.646484375
256021,500.041015625
256204,500.3984375
256377,500.736328125
256547,501.068359375
256687,501.341796875
256860,501.6796875
257004,501.9609375
257174,502.29296875
257347,502.630859375
257515,502.958984375
257688,503.296875
257832,503.578125
258000,503.90625
258243,504.380859375
258414,504.71484375
258558,504.99609375
258741,505.353515625
258970,505.80078125
259139,506.130859375
259381,506.603515625
259553,506.939453125
259721,507.267578125
259880,507.578125
260107,508.021484375
260310,508.41796875
260478,508.74609375
260619,509.021484375
260792,509.359375
260935,509.638671875
261107,509.974609375
261249,510.251953125
261446,510.63671875
261632,511.0
261830,511.38671875
262102,511.91796875
262347,512.396484375
262515,512.724609375
262758,513.19921875
263002,513.67578125
263172,514.0078125
263412,514.4765625
263640,514.921875
263896,515.421875
264168,515.953125
264381,516.369140625
264593,516.783203125
264775,517.138671875
265000,517.578125
265226,518.01953125
265374,518.30859375
265556,518.6640625
265722,518.98828125
265861,519.259765625
266074,519.67578125
266213,519.947265625
266422,520.35546875
266560,520.625
266703,520.904296875
266838,521.16796875
266970,521.42578125
267150,521.77734375
267438,522.33984375
267589,522.634765625
267774,522.99609375
267970,523.37890625
268332,524.0859375
269810,526.97265625
275522,538.12890625
275763,538.599609375
275905,538.876953125
276077,539.212890625
276260,539.5703125
276418,539.87890625
276602,540.23828125
276804,540.6328125
276971,540.958984375
277144,541.296875
277388,541.7734375
277528,542.046875
277701,542.384765625
277900,542.7734375
278042,543.05078125
278216,543.390625
278358,543.66796875
278627,544.193359375
278770,544.47265625
278971,544.865234375
279182,545.27734375
279354,545.61328125
279629,546.150390625
279769,546.423828125
279980,546.8359375
280119,547.107421875
280281,547.423828125
280493,547.837890625
280666,548.17578125
280808,548.453125
280978,548.78515625
281220,549.2578125
281392,549.59375
281534,549.87109375
281777,550.345703125
281947,550.677734375
282190,551.15234375
282432,551.625
282600,551.953125
282846,552.43359375
283089,552.908203125
283255,553.232421875
283429,553.572265625
283602,553.91015625
283768,554.234375
283914,554.51953125
284156,554.9921875
284327,555.326171875
284568,555.796875
284719,556.091796875
284924,556.4921875
285126,556.88671875
285263,557.154296875
285396,557.4140625
285537,557.689453125
285707,558.021484375
285948,558.4921875
286193,558.970703125
286326,559.23046875
286533,559.634765625
286704,559.96875
286849,560.251953125
287018,560.58203125
287291,561.115234375
287432,561.390625
287576,561.671875
287745,562.001953125
287919,562.341796875
288088,562.671875
288230,562.94921875
288402,563.28515625
288672,563.8125
288815,564.091796875
289057,564.564453125
289339,565.115234375
289469,565.369140625
289712,565.84375
289882,566.17578125
290053,566.509765625
290226,566.84765625
290465,567.314453125
290608,567.59375
290780,567.9296875
290923,568.208984375
291089,568.533203125
291266,568.87890625
291509,569.353515625
291681,569.689453125
291862,570.04296875
292023,570.357421875
292163,570.630859375
292337,570.970703125
292478,571.24609375
292647,571.576171875
292817,571.908203125
292960,572.1875
293129,572.517578125
293403,573.052734375
293545,573.330078125
293715,573.662109375
293960,574.140625
294102,574.41796875
294272,574.75
294444,575.0859375
294618,575.42578125
294785,575.751953125
294928,576.03125
295099,576.365234375
295272,576.703125
295415,576.982421875
295584,577.3125
295726,577.58984375
295856,577.84375
296042,578.20703125
296239,578.591796875
296452,579.0078125
296651,579.396484375
296795,579.677734375
296966,580.01171875
297210,580.48828125
297382,580.82421875
297550,581.15234375
297692,581.4296875
297834,581.70703125
297965,581.962890625
298108,582.2421875
298238,582.49609375
298419,582.849609375
298691,583.380859375
298934,583.85546875
299075,584.130859375
299260,584.4921875
299419,584.802734375
299621,585.197265625
299804,585.5546875
300073,586.080078125
300216,586.359375
300460,586.8359375
300628,587.1640625
300872,587.640625
301056,588.0
301186,588.25390625
301357,588.587890625
301513,588.892578125
301700,589.2578125
301842,589.53515625
302013,589.869140625
302185,590.205078125
302353,590.533203125
302497,590.814453125
302670,591.15234375
302840,591.484375
302980,591.7578125
303225,592.236328125
303392,592.5625
303567,592.904296875
303707,593.177734375
303880,593.515625
304077,593.900390625
304293,594.322265625
304506,594.73828125
304707,595.130859375
304948,595.6015625
305123,595.943359375
305333,596.353515625
305531,596.740234375
305674,597.01953125
305847,597.357421875
306050,597.75390625
306189,598.025390625
306429,598.494140625
306644,598.9140625
306817,599.251953125
307085,599.775390625
307229,600.056640625
307371,600.333984375
307571,600.724609375
307741,601.056640625
307884,601.3359375
308127,601.810546875
308294,602.13671875
308468,602.4765625
308611,602.755859375
308879,603.279296875
309019,603.552734375
309266,604.03515625
309438,604.37109375
309581,604.650390625
309778,605.03515625
309993,605.455078125
310192,605.84375
310336,606.125
310504,606.453125
310646,606.73046875
310844,607.1171875
310995,607.412109375
311160,607.734375
311303,608.013671875
311535,608.466796875
311744,608.875
311887,609.154296875
312055,609.482421875
312200,609.765625
312370,610.09765625
312615,610.576171875
312882,611.09765625
313087,611.498046875
313341,611.994140625
313538,612.37890625
313781,612.853515625
313924,613.1328125
314095,613.466796875
314266,613.80078125
314409,614.080078125
314651,614.552734375
314822,614.88671875
314967,615.169921875
315164,615.5546875
315378,615.97265625
315575,616.357421875
315780,616.7578125
315962,617.11328125
316129,617.439453125
316305,617.783203125
316474,618.11328125
316690,618.53515625
316891,618.927734375
317099,619.333984375
317344,619.8125
317613,620.337890625
317756,620.6171875
317929,620.955078125
318099,621.287109375
318268,621.6171875
318442,621.95703125
318585,622.236328125
318825,622.705078125
318996,623.0390625
319127,623.294921875
319310,623.65234375
319481,623.986328125
319651,624.318359375
319823,624.654296875
319966,624.93359375
320135,625.263671875
320266,625.51953125
320479,625.935546875
320620,626.2109375
320763,626.490234375
320935,626.826171875
321103,627.154296875
321277,627.494140625
321476,627.8828125
321663,628.248046875
321933,628.775390625
322175,629.248046875
322345,629.580078125
322517,629.916015625
322753,630.376953125
322999,630.857421875
323172,631.1953125
323314,631.47265625
323486,631.80859375
323625,632.080078125
323896,632.609375
324113,633.033203125
324342,633.48046875
324494,633.77734375
324625,634.033203125
324753,634.283203125
324964,634.6953125
325167,635.091796875
325351,635.451171875
325512,635.765625
325762,636.25390625
326007,636.732421875
326179,637.068359375
326392,637.484375
326591,637.873046875
326734,638.15234375
326976,638.625
327133,638.931640625
327318,639.29296875
327594,639.83203125
327731,640.099609375
327900,640.4296875
328144,640.90625
328384,641.375
328556,641.7109375
328699,641.990234375
